,len,orientation,inches
1,107,H,0.75
2,84,H,0.75
3,55,H,0.75
4,160,H,0.75
5,135,H,0.75
6,73,H,0.75
7,82,H,0.75
8,82,H,0.75
9,118,H,0.75
10,80,V,0.75
11,82,V,0.75
12,93,V,0.75
13,49,V,0.75
14,73,V,0.75
15,63,V,0.75
16,91,V,0.75
17,60,V,0.75
18,64,V,0.75
19,67,V,0.75
20,81,H,1.5
21,53,H,1.5
22,71,H,1.5
23,87,H,1.5
24,57,H,1.5
25,75,H,1.5
26,87,H,1.5
27,84,H,1.5
28,78,H,1.5
29,92,H,1.5
30,92,V,1.5
31,52,V,1.5
32,56,V,1.5
33,47,V,1.5
34,54,V,1.5
35,54,V,1.5
36,59,V,1.5
37,42,V,1.5
38,63,V,1.5
39,41,V,1.5
40,71,V,1.5
